 wwu_artifact_repository.10.title: "Apocalypse"
 wwu_artifact_repository.72.desc: "\n[Root.GetArtifactUnlockSpacer]£blade_of_northern_kings_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.72.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.72.option.exit: "Exit"

 wwu_artifact_repository.73.title: "Brinebeard's Shanker"
 wwu_artifact_repository.73.desc: "\n[Root.GetArtifactUnlockSpacer]£brinebeards_shanker_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.73.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.73.option.exit: "Exit"

 wwu_artifact_repository.74.title: "Crimson Captain's Hat"
 wwu_artifact_repository.74.desc: "\n[Root.GetArtifactUnlockSpacer]£crimson_captains_hat_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.74.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.74.option.exit: "Exit"

